diameter,bending angle,velocityofbending,velocityofbooster,relative thickness,relative radius,extention of mandrel,friction of mandrel,firction of pressure die,firction of wiper die,forming temp,label in rad,label in deg
56.67054593,40.33202966,1.398682724,1.247955928,0.0917055,4.814134371,0.979364363,0.16766525,0.105120069,0.220828291,555.787777,0.045937256,2.632010916
63.36340021,81.39030634,1.014072602,1.324610019,0.083660665,4.176938058,1.079038547,0.117085406,0.218582918,0.110944019,401.7811847,0.1185788,6.794064804
33.13538358,116.3227412,1.077081581,0.819956497,0.066715724,3.755885218,0.920185076,0.108983506,0.137138117,0.120456574,192.4791556,0.193760948,11.10168458
34.02664493,44.33479352,0.933029329,1.435077493,0.086701779,3.340228381,0.341919147,0.07658255,0.231688594,0.175848429,133.2365578,0.138883828,7.957457212
60.2867059,30.89473653,0.924238933,1.05367289,0.064263175,2.507962365,0.596541423,0.191533384,0.117557461,0.130833726,321.0973499,0.032900864,1.885080674
62.48618895,70.85581273,0.962616126,1.293165142,0.053520757,2.972011099,0.936521536,0.069945668,0.237503993,0.148389241,494.8701129,0.047568582,2.72547901
53.97905741,110.7519005,1.342569379,0.721535713,0.047515203,4.543897893,1.016613571,0.175886943,0.227597147,0.119282148,59.9058241,0.225470768,12.91852343
53.80130723,106.2424336,0.778693619,1.348087472,0.091834287,3.411384914,0.607528404,0.182409657,0.20132513,0.210175823,597.2649289,0.121007428,6.933214938
50.82627529,113.3397863,1.425410672,1.250976992,0.046988344,3.59048716,0.064579569,0.113272788,0.240867611,0.219861881,537.2657101,0.169470608,9.709950614
47.2152068,65.78007376,1.018159199,0.676302348,0.08902192,3.353226698,0.974316044,0.193350058,0.118400817,0.133032085,374.8325334,0.076356088,4.374881606
49.11007341,78.51333056,0.763896737,0.667584992,0.09492468,3.398263405,0.185261786,0.147151541,0.224179204,0.166697105,212.5420985,0.165221208,9.466477928
66.46895119,38.93441552,0.784390656,1.206948399,0.072492317,3.04620143,0.471447894,0.174165916,0.208080924,0.248578175,479.5303555,0.035092808,2.010669814
40.759792,69.67992278,1.192292334,1.036228315,0.096244402,4.129148127,0.643202291,0.158697592,0.233681856,0.233981502,501.1480345,0.096420768,5.524503088
39.50405695,110.6548627,1.455887813,0.843440544,0.074016767,3.64712792,0.242053768,0.104627975,0.238769362,0.20064651,65.35956363,0.252003008,14.43870881
44.88341875,82.216216,0.719558209,1.419271009,0.035850941,2.969796992,0.368563997,0.122441951,0.142830841,0.119599046,311.631225,0.133885568,7.671078008
35.89993389,37.63115771,1.375759409,1.416854776,0.048473318,4.783417371,0.730963807,0.069279781,0.227918863,0.182623272,400.7568035,0.098167398,5.624577616
30.25262336,49.09685342,0.754557242,0.899106275,0.087129041,2.754355086,0.359316542,0.187261489,0.241697205,0.171711867,454.5689093,0.046152458,2.644341082
35.35712197,63.97005988,1.276214029,1.248183176,0.084096257,4.760905406,0.674335495,0.102463161,0.189283362,0.148799239,328.7940221,0.151215388,8.664003554
21.49100357,94.7339483,1.296994239,0.763152612,0.075807265,4.838291928,0.777381508,0.145325457,0.177700752,0.13694081,33.95441733,0.238005248,13.63669624
54.17056157,113.4441622,1.195807707,1.473527877,0.040410509,4.138381053,1.123398128,0.095516541,0.194124525,0.208889455,44.96765955,0.232081548,13.29729323
32.90207892,133.8414711,0.759507961,1.125686462,0.078529812,4.388045057,0.400090967,0.076566898,0.245794459,0.204757072,21.36012897,0.315909209,18.10026436
20.04069407,66.85901097,1.364853848,0.617343075,0.035014219,4.801343772,0.576354977,0.137699624,0.164290156,0.229471842,433.3256082,0.103218996,5.91401286
47.47048934,122.0129401,1.357918198,1.147544478,0.038249549,4.03704994,1.153601907,0.079870469,0.226804526,0.216510607,556.967222,0.129758508,7.434614888
23.56922867,80.26913988,0.79812072,1.376879709,0.036721285,3.03657605,1.142127384,0.178568762,0.208506163,0.177413985,162.1443866,0.116596388,6.680480964
66.39799976,33.45181993,1.130926036,1.384545841,0.041049986,2.73905808,1.024129065,0.162532342,0.197025756,0.142431545,71.47663536,0.056452342,3.234480964
22.31595877,130.5385636,0.806231894,0.606600677,0.055108455,2.804181119,0.303119382,0.11403181,0.201598942,0.181144874,544.6833191,0.131458368,7.532009692
28.3809041,88.73077404,1.090526631,0.939960825,0.041182422,4.629882157,0.371088076,0.188676463,0.135759617,0.129860561,221.5987417,0.198189288,11.35540977
24.44900252,73.93454495,1.240943601,0.60205569,0.072897515,3.487251992,0.448605951,0.077330309,0.148838803,0.140344353,77.65643564,0.170554556,9.77205626
28.01976963,95.04747676,1.482600004,1.297771997,0.045229752,3.191086052,0.278178684,0.118253833,0.127317296,0.2106381,81.61073868,0.207340488,11.87973491
48.87151704,102.0169168,0.804050878,0.65856532,0.080851259,4.311805725,0.779157908,0.130523326,0.249606398,0.214873682,180.7421009,0.196390568,11.25235071
46.65784848,53.67949566,0.702470238,0.643739908,0.060038829,4.459076781,0.387233283,0.153660704,0.180707784,0.141552851,575.1459588,0.054591348,3.127853862
22.07494533,72.5654998,1.414487628,1.031290464,0.093997452,4.86903062,1.049559933,0.107663361,0.173138804,0.162724167,364.976879,0.135580748,7.768204668
41.42528315,109.8578214,1.306142112,1.079448407,0.070540379,3.65032018,0.262154112,0.154756512,0.202219609,0.132244764,458.7768517,0.165407328,9.47714182
64.32432433,68.58255359,1.327215945,0.944590969,0.038762326,2.874729951,1.183234889,0.064602445,0.188523769,0.141704139,543.4421069,0.013744862,0.787522606
